timestamp,M001_demand,M002_demand,M003_demand,M004_demand,M005_demand,M006_demand,M007_demand,M008_demand,M001_stock,M002_stock,M003_stock,M004_stock,M005_stock,M006_stock,M007_stock,M008_stock
2026-01-01 08:00:00,0,0,0,0,0,12,11,22,0.0,0.0,0.0,0.0,0.0,288.0,289.0,278.0
2026-01-01 09:00:00,0,0,0,0,0,12,11,22,0.0,0.0,0.0,0.0,0.0,276.0,278.0,256.0
2026-01-01 10:00:00,0,0,0,0,0,12,11,22,0.0,0.0,0.0,0.0,0.0,264.0,267.0,234.0
2026-01-01 11:00:00,0,0,0,0,0,11,10,20,0.0,0.0,0.0,0.0,0.0,253.0,257.0,214.0
2026-01-01 12:00:00,0,0,0,0,0,10,10,20,0.0,0.0,0.0,0.0,0.0,243.0,247.0,194.0
2026-01-01 13:00:00,20,20,41,0,0,0,0,0,280.0,280.0,259.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 14:00:00,21,21,43,0,0,0,0,0,259.0,259.0,216.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 15:00:00,23,23,46,0,0,0,0,0,236.0,236.0,170.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 16:00:00,0,0,0,0,0,12,12,25,0.0,0.0,0.0,0.0,0.0,231.0,235.0,169.0
2026-01-01 17:00:00,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,220.0,224.0,147.0
2026-01-01 18:00:00,0,0,0,0,0,11,10,20,0.0,0.0,0.0,0.0,0.0,209.0,214.0,127.0
2026-01-01 19:00:00,0,0,0,0,0,9,9,18,0.0,0.0,0.0,0.0,0.0,200.0,205.0,109.0
2026-01-01 20:00:00,19,19,38,0,0,0,0,0,217.0,217.0,132.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 21:00:00,20,20,40,0,0,0,0,0,197.0,197.0,500.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 22:00:00,19,18,38,0,0,0,0,0,178.0,179.0,462.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 23:00:00,20,19,40,0,0,0,0,0,158.0,160.0,422.0,0.0,0.0,0.0,0.0,0.0
