timestamp,vehicle_type,planned_output,actual_output,priority,shift_factor,hour_factor,production_execution_error
2026-01-01 08:00:00,C车型,10,11,1,1.02,1.0,0.4653
2026-01-01 09:00:00,C车型,10,11,3,1.02,1.015,0.4976
2026-01-01 10:00:00,C车型,10,11,1,1.02,1.015,0.6992
2026-01-01 11:00:00,C车型,10,10,3,1.02,1.015,-0.2775
2026-01-01 12:00:00,C车型,10,10,1,1.02,1.0,-0.1508
2026-01-01 13:00:00,A车型,20,20,1,1.02,1.0,-0.692
2026-01-01 14:00:00,A车型,20,21,3,1.02,1.02,-0.1973
2026-01-01 15:00:00,A车型,20,23,1,1.02,1.02,1.8814
2026-01-01 16:00:00,C车型,10,12,2,1.0,1.02,1.5252
2026-01-01 17:00:00,C车型,10,11,1,1.0,1.0,0.7206
2026-01-01 18:00:00,C车型,10,10,1,1.0,1.0,-0.3958
2026-01-01 19:00:00,C车型,10,9,3,1.0,1.0,-1.296
2026-01-01 20:00:00,A车型,20,19,1,1.0,1.0,-0.8439
2026-01-01 21:00:00,A车型,20,20,1,1.0,1.0,-0.0346
2026-01-01 22:00:00,A车型,20,19,1,1.0,1.0,-0.7035
2026-01-01 23:00:00,A车型,20,20,1,1.0,1.0,-0.229
2026-01-02 00:00:00,A车型,20,19,3,0.97,1.0,-0.3827
2026-01-02 01:00:00,A车型,20,19,3,0.97,0.98,0.3848
2026-01-02 02:00:00,A车型,20,18,2,0.97,0.98,-0.7546
2026-01-02 03:00:00,A车型,20,19,2,0.97,0.98,0.0551
2026-01-02 04:00:00,A车型,20,21,2,0.97,0.98,1.5633
2026-01-02 05:00:00,A车型,20,20,1,0.97,0.98,1.2006
2026-01-02 06:00:00,A车型,20,20,2,0.97,1.0,0.7427
2026-01-02 07:00:00,A车型,20,20,2,0.97,1.0,0.2222
2026-01-02 08:00:00,A车型,20,21,1,1.02,1.0,0.945
2026-01-02 09:00:00,A车型,20,22,3,1.02,1.015,1.5595
2026-01-02 10:00:00,A车型,20,23,2,1.02,1.015,2.2522
2026-01-02 11:00:00,A车型,20,23,3,1.02,1.015,2.4768
2026-01-02 12:00:00,A车型,20,23,1,1.02,1.0,2.7813
2026-01-02 13:00:00,A车型,20,23,2,1.02,1.0,2.1412
2026-01-02 14:00:00,C车型,10,11,3,1.02,1.02,0.9734
2026-01-02 15:00:00,C车型,10,11,1,1.02,1.02,0.7643
2026-01-02 16:00:00,C车型,10,11,1,1.0,1.02,0.4149
2026-01-02 17:00:00,A车型,20,20,3,1.0,1.0,0.4716
2026-01-02 18:00:00,A车型,20,21,3,1.0,1.0,1.357
2026-01-02 19:00:00,C车型,10,11,1,1.0,1.0,0.7445
2026-01-02 20:00:00,C车型,10,12,3,1.0,1.0,1.7006
2026-01-02 21:00:00,C车型,10,12,3,1.0,1.0,1.8167
2026-01-02 22:00:00,C车型,10,12,2,1.0,1.0,1.6808
2026-01-02 23:00:00,C车型,10,10,1,1.0,1.0,0.2585
2026-01-03 00:00:00,B车型,15,15,2,0.97,1.0,0.8447
2026-01-03 01:00:00,B车型,15,14,2,0.97,0.98,-0.2164
2026-01-03 02:00:00,B车型,15,15,2,0.97,0.98,0.4041
2026-01-03 03:00:00,B车型,15,15,1,0.97,0.98,0.7249
2026-01-03 04:00:00,B车型,15,15,1,0.97,0.98,1.1583
2026-01-03 05:00:00,B车型,15,16,2,0.97,0.98,1.4773
2026-01-03 06:00:00,B车型,15,17,1,0.97,1.0,2.2502
2026-01-03 07:00:00,B车型,15,15,3,0.97,1.0,0.8203
2026-01-03 08:00:00,B车型,15,16,2,1.02,1.0,0.2772
2026-01-03 09:00:00,C车型,10,10,1,1.02,1.015,0.0396
2026-01-03 10:00:00,C车型,10,10,2,1.02,1.015,-0.7475
2026-01-03 11:00:00,C车型,10,11,3,1.02,1.015,0.372
2026-01-03 12:00:00,C车型,10,11,2,1.02,1.0,1.1424
2026-01-03 13:00:00,B车型,15,16,2,1.02,1.0,0.8005
2026-01-03 14:00:00,B车型,15,17,1,1.02,1.02,0.9473
2026-01-03 15:00:00,B车型,15,16,3,1.02,1.02,0.7635
2026-01-03 16:00:00,B车型,15,16,1,1.0,1.02,0.5425
2026-01-03 17:00:00,A车型,20,21,2,1.0,1.0,1.4469
2026-01-03 18:00:00,A车型,20,21,3,1.0,1.0,0.9473
2026-01-03 19:00:00,A车型,20,20,3,1.0,1.0,0.3172
2026-01-03 20:00:00,A车型,20,20,2,1.0,1.0,-0.2892
2026-01-03 21:00:00,B车型,15,15,2,1.0,1.0,-0.2034
2026-01-03 22:00:00,B车型,15,16,3,1.0,1.0,0.8243
2026-01-03 23:00:00,A车型,20,20,1,1.0,1.0,0.3535
2026-01-04 00:00:00,B车型,15,15,3,0.97,1.0,0.6858
2026-01-04 01:00:00,C车型,10,9,2,0.97,0.98,-0.3687
2026-01-04 02:00:00,C车型,10,10,3,0.97,0.98,0.1416
2026-01-04 03:00:00,C车型,10,10,2,0.97,0.98,0.8745
2026-01-04 04:00:00,C车型,10,10,2,0.97,0.98,0.9082
2026-01-04 05:00:00,C车型,10,10,2,0.97,0.98,0.3722
2026-01-04 06:00:00,A车型,20,19,2,0.97,1.0,-0.0038
2026-01-04 07:00:00,A车型,20,20,1,0.97,1.0,1.0365
2026-01-04 08:00:00,A车型,20,20,3,1.02,1.0,-0.5477
