task_id,timestamp,material,start,destination,quantity,priority
1,2026-01-01 08:00:00,M008,智能仓库,工位2,22,3
2,2026-01-01 09:00:00,M008,智能仓库,工位4,22,2
3,2026-01-01 10:00:00,M008,智能仓库,工位5,22,2
4,2026-01-01 13:00:00,M003,智能仓库,工位4,41,3
5,2026-01-01 14:00:00,M001,智能仓库,工位4,21,2
6,2026-01-01 14:00:00,M002,智能仓库,工位2,21,3
7,2026-01-01 14:00:00,M003,智能仓库,工位1,43,2
8,2026-01-01 15:00:00,M001,智能仓库,工位2,23,2
9,2026-01-01 15:00:00,M002,智能仓库,工位1,23,3
10,2026-01-01 15:00:00,M003,智能仓库,工位4,46,2
11,2026-01-01 16:00:00,M008,智能仓库,工位3,25,3
12,2026-01-01 17:00:00,M008,智能仓库,工位1,22,2
13,2026-01-01 20:00:00,M003,智能仓库,工位5,38,1
14,2026-01-01 21:00:00,M003,智能仓库,工位4,40,3
15,2026-01-01 22:00:00,M003,智能仓库,工位2,38,1
16,2026-01-01 23:00:00,M003,智能仓库,工位1,40,3
17,2026-01-02 00:00:00,M003,智能仓库,工位5,38,2
18,2026-01-02 01:00:00,M003,智能仓库,工位2,38,1
19,2026-01-02 02:00:00,M003,智能仓库,工位3,36,3
20,2026-01-02 03:00:00,M003,智能仓库,工位1,38,3
21,2026-01-02 04:00:00,M001,智能仓库,工位5,21,2
22,2026-01-02 04:00:00,M002,智能仓库,工位1,21,1
23,2026-01-02 04:00:00,M003,智能仓库,工位5,41,2
24,2026-01-02 05:00:00,M003,智能仓库,工位5,40,3
25,2026-01-02 06:00:00,M003,智能仓库,工位3,40,1
26,2026-01-02 07:00:00,M003,智能仓库,工位1,39,1
27,2026-01-02 08:00:00,M001,智能仓库,工位5,21,1
28,2026-01-02 08:00:00,M002,智能仓库,工位4,21,2
29,2026-01-02 08:00:00,M003,智能仓库,工位3,42,1
30,2026-01-02 09:00:00,M001,智能仓库,工位3,22,2
31,2026-01-02 09:00:00,M002,智能仓库,工位4,22,3
32,2026-01-02 09:00:00,M003,智能仓库,工位3,44,1
33,2026-01-02 10:00:00,M001,智能仓库,工位4,23,3
34,2026-01-02 10:00:00,M002,智能仓库,工位2,23,1
35,2026-01-02 10:00:00,M003,智能仓库,工位5,46,1
36,2026-01-02 11:00:00,M001,智能仓库,工位2,23,2
37,2026-01-02 11:00:00,M002,智能仓库,工位3,23,2
38,2026-01-02 11:00:00,M003,智能仓库,工位4,46,3
39,2026-01-02 12:00:00,M001,智能仓库,工位5,24,1
40,2026-01-02 12:00:00,M002,智能仓库,工位5,23,1
41,2026-01-02 12:00:00,M003,智能仓库,工位1,46,3
42,2026-01-02 13:00:00,M001,智能仓库,工位2,24,2
43,2026-01-02 13:00:00,M002,智能仓库,工位3,23,2
44,2026-01-02 13:00:00,M003,智能仓库,工位2,46,3
45,2026-01-02 14:00:00,M008,智能仓库,工位2,23,3
46,2026-01-02 15:00:00,M008,智能仓库,工位4,23,1
47,2026-01-02 16:00:00,M008,智能仓库,工位5,22,2
48,2026-01-02 17:00:00,M001,智能仓库,工位2,21,3
49,2026-01-02 17:00:00,M003,智能仓库,工位5,40,1
50,2026-01-02 18:00:00,M001,智能仓库,工位2,22,3
51,2026-01-02 18:00:00,M002,智能仓库,工位4,21,3
52,2026-01-02 18:00:00,M003,智能仓库,工位1,42,2
53,2026-01-02 19:00:00,M008,智能仓库,工位5,22,2
54,2026-01-02 20:00:00,M008,智能仓库,工位3,24,3
55,2026-01-02 21:00:00,M008,智能仓库,工位1,24,3
56,2026-01-02 22:00:00,M008,智能仓库,工位2,24,1
57,2026-01-03 00:00:00,M004,智能仓库,工位1,30,1
58,2026-01-03 01:00:00,M004,智能仓库,工位2,28,3
59,2026-01-03 02:00:00,M004,智能仓库,工位4,30,2
60,2026-01-03 03:00:00,M004,智能仓库,工位4,30,3
61,2026-01-03 04:00:00,M004,智能仓库,工位1,30,2
62,2026-01-03 05:00:00,M004,智能仓库,工位3,32,1
63,2026-01-03 06:00:00,M004,智能仓库,工位1,33,1
64,2026-01-03 07:00:00,M004,智能仓库,工位5,30,2
65,2026-01-03 08:00:00,M004,智能仓库,工位4,32,3
66,2026-01-03 11:00:00,M008,智能仓库,工位5,22,1
67,2026-01-03 12:00:00,M008,智能仓库,工位5,22,2
68,2026-01-03 13:00:00,M004,智能仓库,工位1,32,3
69,2026-01-03 14:00:00,M004,智能仓库,工位5,34,1
70,2026-01-03 15:00:00,M004,智能仓库,工位4,33,2
71,2026-01-03 16:00:00,M004,智能仓库,工位4,32,1
72,2026-01-03 17:00:00,M001,智能仓库,工位1,21,3
73,2026-01-03 17:00:00,M002,智能仓库,工位1,21,2
74,2026-01-03 17:00:00,M003,智能仓库,工位5,42,2
75,2026-01-03 18:00:00,M002,智能仓库,工位3,21,1
76,2026-01-03 18:00:00,M003,智能仓库,工位4,42,2
77,2026-01-03 19:00:00,M003,智能仓库,工位2,40,3
78,2026-01-03 20:00:00,M003,智能仓库,工位2,40,2
79,2026-01-03 21:00:00,M004,智能仓库,工位2,30,3
80,2026-01-03 22:00:00,M004,智能仓库,工位5,32,1
81,2026-01-03 23:00:00,M003,智能仓库,工位1,40,2
82,2026-01-04 00:00:00,M004,智能仓库,工位1,30,1
83,2026-01-04 06:00:00,M003,智能仓库,工位1,38,2
84,2026-01-04 07:00:00,M003,智能仓库,工位4,40,1
85,2026-01-04 08:00:00,M002,智能仓库,工位5,21,3
86,2026-01-04 08:00:00,M003,智能仓库,工位2,40,3
87,2026-01-04 09:00:00,M002,智能仓库,工位1,21,1
88,2026-01-04 09:00:00,M003,智能仓库,工位4,40,3
89,2026-01-04 10:00:00,M002,智能仓库,工位4,22,1
90,2026-01-04 10:00:00,M003,智能仓库,工位3,42,2
91,2026-01-04 11:00:00,M001,智能仓库,工位1,22,2
92,2026-01-04 11:00:00,M002,智能仓库,工位3,23,3
93,2026-01-04 11:00:00,M003,智能仓库,工位5,45,2
94,2026-01-04 12:00:00,M001,智能仓库,工位5,22,1
95,2026-01-04 12:00:00,M002,智能仓库,工位5,23,3
96,2026-01-04 12:00:00,M003,智能仓库,工位2,44,2
97,2026-01-04 13:00:00,M001,智能仓库,工位2,23,1
98,2026-01-04 13:00:00,M002,智能仓库,工位3,23,3
99,2026-01-04 13:00:00,M003,智能仓库,工位5,46,1
100,2026-01-04 14:00:00,M004,智能仓库,工位4,34,3
101,2026-01-04 15:00:00,M004,智能仓库,工位2,32,1
102,2026-01-04 16:00:00,M004,智能仓库,工位1,34,3
103,2026-01-04 17:00:00,M004,智能仓库,工位5,34,3
104,2026-01-04 18:00:00,M008,智能仓库,工位5,22,1
105,2026-01-04 19:00:00,M004,智能仓库,工位5,29,2
106,2026-01-04 20:00:00,M004,智能仓库,工位1,29,3
107,2026-01-04 21:00:00,M004,智能仓库,工位1,29,3
108,2026-01-04 22:00:00,M004,智能仓库,工位2,30,2
109,2026-01-04 23:00:00,M004,智能仓库,工位4,32,3
110,2026-01-05 00:00:00,M004,智能仓库,工位4,29,2
111,2026-01-05 01:00:00,M004,智能仓库,工位4,27,2
112,2026-01-05 02:00:00,M004,智能仓库,工位2,26,3
113,2026-01-05 03:00:00,M004,智能仓库,工位5,26,1
114,2026-01-05 07:00:00,M003,智能仓库,工位4,38,1
115,2026-01-05 08:00:00,M003,智能仓库,工位2,38,1
116,2026-01-05 09:00:00,M004,智能仓库,工位4,28,2
117,2026-01-05 10:00:00,M004,智能仓库,工位3,29,1
118,2026-01-05 11:00:00,M008,智能仓库,工位5,21,2
119,2026-01-05 12:00:00,M008,智能仓库,工位4,21,3
120,2026-01-05 13:00:00,M002,智能仓库,工位3,21,3
121,2026-01-05 13:00:00,M003,智能仓库,工位2,40,1
122,2026-01-05 14:00:00,M002,智能仓库,工位5,21,2
123,2026-01-05 14:00:00,M003,智能仓库,工位5,40,1
124,2026-01-05 18:00:00,M003,智能仓库,工位4,38,1
125,2026-01-05 21:00:00,M008,智能仓库,工位4,24,3
126,2026-01-05 22:00:00,M008,智能仓库,工位3,24,2
127,2026-01-05 23:00:00,M008,智能仓库,工位1,22,2
128,2026-01-06 00:00:00,M008,智能仓库,工位1,24,2
129,2026-01-06 01:00:00,M008,智能仓库,工位4,22,1
130,2026-01-06 02:00:00,M004,智能仓库,工位5,30,2
131,2026-01-06 03:00:00,M004,智能仓库,工位2,31,3
132,2026-01-06 04:00:00,M004,智能仓库,工位2,26,3
133,2026-01-06 05:00:00,M003,智能仓库,工位3,37,2
134,2026-01-06 07:00:00,M003,智能仓库,工位3,40,3
135,2026-01-06 08:00:00,M001,智能仓库,工位4,21,3
136,2026-01-06 08:00:00,M002,智能仓库,工位1,21,1
137,2026-01-06 08:00:00,M003,智能仓库,工位3,43,3
138,2026-01-06 09:00:00,M001,智能仓库,工位3,22,3
139,2026-01-06 09:00:00,M002,智能仓库,工位3,21,2
140,2026-01-06 09:00:00,M003,智能仓库,工位2,42,3
141,2026-01-06 10:00:00,M008,智能仓库,工位4,22,2
142,2026-01-06 11:00:00,M004,智能仓库,工位2,31,2
143,2026-01-06 12:00:00,M004,智能仓库,工位4,32,3
144,2026-01-06 13:00:00,M008,智能仓库,工位2,23,1
145,2026-01-06 14:00:00,M008,智能仓库,工位2,24,2
146,2026-01-06 16:00:00,M003,智能仓库,工位2,40,1
147,2026-01-06 17:00:00,M001,智能仓库,工位4,21,2
148,2026-01-06 17:00:00,M002,智能仓库,工位4,21,3
149,2026-01-06 17:00:00,M003,智能仓库,工位2,42,2
150,2026-01-06 18:00:00,M004,智能仓库,工位2,30,2
151,2026-01-07 06:00:00,M003,智能仓库,工位3,38,3
152,2026-01-07 07:00:00,M003,智能仓库,工位1,38,2
153,2026-01-07 10:00:00,M001,智能仓库,工位3,21,3
154,2026-01-07 10:00:00,M002,智能仓库,工位5,21,3
155,2026-01-07 10:00:00,M003,智能仓库,工位1,43,1
156,2026-01-07 11:00:00,M003,智能仓库,工位4,41,2
157,2026-01-07 14:00:00,M004,智能仓库,工位4,28,3
158,2026-01-07 15:00:00,M004,智能仓库,工位2,28,1
159,2026-01-07 21:00:00,M008,智能仓库,工位5,22,2
160,2026-01-07 22:00:00,M008,智能仓库,工位1,22,1
161,2026-01-07 23:00:00,M003,智能仓库,工位2,40,2
