timestamp,material_id,demand,base_demand,structured_bias
2026-01-01 08:00:00,M001,15,15,-0.3098
2026-01-01 08:00:00,M004,30,30,0.4765
2026-01-01 08:00:00,M005,15,15,-0.0712
2026-01-01 09:00:00,M001,14,15,-0.5409
2026-01-01 09:00:00,M004,30,30,0.3563
2026-01-01 09:00:00,M005,15,15,-0.3383
2026-01-01 10:00:00,M001,16,16,-0.2302
2026-01-01 10:00:00,M004,33,32,0.6891
2026-01-01 10:00:00,M005,16,16,-0.4484
2026-01-01 11:00:00,M001,16,16,-0.2513
2026-01-01 11:00:00,M004,33,32,0.787
2026-01-01 11:00:00,M005,16,16,-0.225
2026-01-01 12:00:00,M001,16,16,-0.2017
2026-01-01 12:00:00,M004,33,32,0.6401
2026-01-01 12:00:00,M005,16,16,-0.3881
2026-01-01 13:00:00,M001,16,16,-0.2418
2026-01-01 13:00:00,M004,32,32,0.4265
2026-01-01 13:00:00,M005,16,16,0.3524
2026-01-01 14:00:00,M001,15,15,0.2142
2026-01-01 14:00:00,M004,30,30,0.2193
2026-01-01 14:00:00,M005,15,15,0.2856
2026-01-01 15:00:00,M006,9,9,-0.1388
2026-01-01 15:00:00,M007,9,9,0.0941
2026-01-01 15:00:00,M008,18,18,-0.1692
2026-01-01 16:00:00,M006,10,10,0.0349
2026-01-01 16:00:00,M007,10,10,0.4384
2026-01-01 16:00:00,M008,20,20,-0.1382
2026-01-01 17:00:00,M006,10,10,-0.0398
2026-01-01 17:00:00,M007,11,10,0.5016
2026-01-01 17:00:00,M008,20,20,0.043
2026-01-01 18:00:00,M006,10,10,0.1289
2026-01-01 18:00:00,M007,10,10,0.3651
2026-01-01 18:00:00,M008,20,20,0.142
2026-01-01 19:00:00,M006,10,10,0.1758
2026-01-01 19:00:00,M007,11,10,0.7841
2026-01-01 19:00:00,M008,20,20,-0.0397
2026-01-01 20:00:00,M001,14,14,-0.1396
2026-01-01 20:00:00,M004,28,28,-0.0348
2026-01-01 20:00:00,M005,14,14,-0.3227
2026-01-01 21:00:00,M001,14,14,-0.113
2026-01-01 21:00:00,M004,28,28,0.3324
