timestamp,vehicle_type,planned_output,actual_output,priority,shift_factor,hour_factor,production_execution_error,machine_load,material_supply_status,changeover_progress,order_pressure,line_congestion
2026-01-01 08:00:00,B车型,15,15,3,1.02,1.0,-0.0518,0.82,0.97,0.0,1.0,0.12
2026-01-01 09:00:00,B车型,15,15,1,1.02,1.015,-0.6212,0.8216,0.9693,0.0,0.9997,0.1156
2026-01-01 10:00:00,B车型,15,16,1,1.02,1.015,0.5235,0.8034,0.9828,0.0,1.0059,0.1213
2026-01-01 11:00:00,B车型,15,16,3,1.02,1.015,0.6421,0.7951,0.9771,0.0,0.9892,0.1524
2026-01-01 12:00:00,B车型,15,16,2,1.02,1.0,0.4389,0.7922,0.973,0.0,0.9905,0.1686
2026-01-01 13:00:00,B车型,15,16,3,1.02,1.0,0.3212,0.8102,0.9866,0.0,0.9992,0.1801
2026-01-01 14:00:00,B车型,15,15,2,1.02,1.02,-0.4544,0.8008,0.9794,0.3,1.015,0.1901
2026-01-01 15:00:00,C车型,10,9,2,1.02,1.02,-1.134,0.8219,0.985,1.0,1.007,0.1914
2026-01-01 16:00:00,C车型,10,10,1,1.0,1.02,-0.2379,0.8091,0.9845,0.4,1.0129,0.1582
2026-01-01 17:00:00,C车型,10,10,2,1.0,1.0,-0.0483,0.821,0.9911,0.0,1.003,0.1394
2026-01-01 18:00:00,C车型,10,10,1,1.0,1.0,-0.1211,0.8081,0.9838,0.0,1.0091,0.1608
2026-01-01 19:00:00,C车型,10,10,3,1.0,1.0,0.2104,0.8165,0.9685,0.3,1.0069,0.1659
2026-01-01 20:00:00,B车型,15,14,2,1.0,1.0,-0.5159,0.8213,0.9566,1.0,1.0023,0.188
2026-01-01 21:00:00,B车型,15,14,3,1.0,1.0,-1.4,0.8205,0.9745,0.4,0.9999,0.2493
2026-01-01 22:00:00,B车型,15,15,2,1.0,1.0,-0.3084,0.801,0.9831,0.0,0.9987,0.2298
2026-01-01 23:00:00,B车型,15,15,1,1.0,1.0,0.1449,0.7788,0.9804,0.0,0.9821,0.2031
2026-01-02 00:00:00,B车型,15,14,1,0.97,1.0,-0.2245,0.7852,0.9244,0.0,0.9887,0.2089
2026-01-02 01:00:00,B车型,15,14,3,0.97,0.98,-0.6345,0.803,0.8996,0.3,0.9925,0.2051
2026-01-02 02:00:00,C车型,10,8,3,0.97,0.98,-2.0056,0.8252,0.9065,1.0,0.9854,0.1813
2026-01-02 03:00:00,A车型,20,16,2,0.97,0.98,-3.0401,0.8452,0.9076,1.0,1.0005,0.1571
2026-01-02 04:00:00,A车型,20,16,1,0.97,0.98,-2.9268,0.8692,0.913,0.4,0.9771,0.1704
2026-01-02 05:00:00,A车型,20,17,3,0.97,0.98,-1.8958,0.8767,0.9254,0.0,0.9763,0.174
2026-01-02 06:00:00,A车型,20,18,2,0.97,1.0,-1.3225,0.8795,0.9299,0.0,0.9728,0.1748
2026-01-02 07:00:00,A车型,20,19,1,0.97,1.0,-0.3194,0.898,0.9481,0.0,0.9875,0.1835
2026-01-02 08:00:00,A车型,20,20,2,1.02,1.0,0.0342,0.8949,0.937,0.0,0.9781,0.145
2026-01-02 09:00:00,A车型,20,20,1,1.02,1.015,-0.4452,0.9083,0.9421,0.3,1.0162,0.1773
2026-01-02 10:00:00,C车型,10,9,1,1.02,1.015,-1.5549,0.9237,0.9542,1.0,1.0404,0.204
2026-01-02 11:00:00,C车型,10,9,3,1.02,1.015,-1.7863,0.9159,0.9544,0.4,1.0565,0.3491
2026-01-02 12:00:00,C车型,10,8,2,1.02,1.0,-1.7442,0.9226,0.9462,0.3,1.0694,0.4544
2026-01-02 13:00:00,A车型,20,18,1,1.02,1.0,-2.638,0.9262,0.9512,1.0,1.0614,0.5268
2026-01-02 14:00:00,B车型,15,12,2,1.02,1.02,-3.3881,0.9145,0.952,1.0,1.0587,0.605
2026-01-02 15:00:00,B车型,15,12,3,1.02,1.02,-3.6812,0.9141,0.9533,0.4,1.0412,0.6394
2026-01-02 16:00:00,A车型,20,16,1,1.0,1.02,-4.3385,0.927,0.961,1.0,1.0335,0.6607
2026-01-02 17:00:00,A车型,20,16,3,1.0,1.0,-4.1944,0.9344,0.9732,0.4,1.0236,0.6561
2026-01-02 18:00:00,C车型,10,5,3,1.0,1.0,-4.9367,0.9403,0.9714,1.0,1.0147,0.6421
2026-01-02 19:00:00,A车型,20,15,3,1.0,1.0,-4.6061,0.916,0.9586,1.0,1.0184,0.5002
2026-01-02 20:00:00,C车型,10,5,1,1.0,1.0,-4.6069,0.9121,0.9524,1.0,1.0077,0.4071
2026-01-02 21:00:00,C车型,10,7,2,1.0,1.0,-3.4396,0.9241,0.9319,0.4,0.9972,0.337
2026-01-02 22:00:00,C车型,10,8,2,1.0,1.0,-2.1571,0.9265,0.9175,0.0,1.0087,0.2863
