timestamp,production_output,planned_production_output,production_priority,shift_factor,hour_factor,M001_demand,M002_demand,M003_demand,M004_demand,M005_demand,M006_demand,M007_demand,M008_demand,M001_stock,M002_stock,M003_stock,M004_stock,M005_stock,M006_stock,M007_stock,M008_stock,task_count,hour,weekday
2026-01-01 08:00:00,11,10,3,1.02,1.0,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,289.0,289.0,278.0,1.0,8,3
2026-01-01 09:00:00,11,10,1,1.02,1.015,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,278.0,278.0,256.0,1.0,9,3
2026-01-01 10:00:00,11,10,1,1.02,1.015,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,267.0,267.0,234.0,1.0,10,3
2026-01-01 11:00:00,12,10,3,1.02,1.015,0,0,0,0,0,12,12,24,0.0,0.0,0.0,0.0,0.0,255.0,255.0,210.0,1.0,11,3
2026-01-01 12:00:00,11,10,2,1.02,1.0,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,244.0,244.0,188.0,1.0,12,3
2026-01-01 13:00:00,11,10,1,1.02,1.0,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,233.0,233.0,166.0,1.0,13,3
2026-01-01 14:00:00,12,10,3,1.02,1.02,0,0,0,0,0,13,12,24,0.0,0.0,0.0,0.0,0.0,220.0,221.0,142.0,1.0,14,3
2026-01-01 15:00:00,12,10,3,1.02,1.02,0,0,0,0,0,12,12,24,0.0,0.0,0.0,0.0,0.0,208.0,209.0,118.0,1.0,15,3
2026-01-01 16:00:00,11,10,3,1.0,1.02,0,0,0,0,0,11,11,22,0.0,0.0,0.0,0.0,0.0,197.0,198.0,500.0,1.0,16,3
2026-01-01 17:00:00,16,15,1,1.0,1.0,16,0,0,32,16,0,0,0,284.0,0.0,0.0,268.0,284.0,0.0,0.0,0.0,1.0,17,3
2026-01-01 18:00:00,16,15,2,1.0,1.0,16,0,0,32,16,0,0,0,268.0,0.0,0.0,236.0,268.0,0.0,0.0,0.0,1.0,18,3
2026-01-01 19:00:00,20,20,1,1.0,1.0,20,20,41,0,0,0,0,0,248.0,280.0,259.0,0.0,0.0,0.0,0.0,0.0,1.0,19,3
2026-01-01 20:00:00,20,20,2,1.0,1.0,20,20,40,0,0,0,0,0,228.0,260.0,219.0,0.0,0.0,0.0,0.0,0.0,1.0,20,3
2026-01-01 21:00:00,19,20,1,1.0,1.0,19,19,38,0,0,0,0,0,209.0,241.0,181.0,0.0,0.0,0.0,0.0,0.0,1.0,21,3
2026-01-01 22:00:00,8,10,1,1.0,1.0,0,0,0,0,0,9,8,16,0.0,0.0,0.0,0.0,0.0,188.0,190.0,484.0,0.0,22,3
2026-01-01 23:00:00,8,10,1,1.0,1.0,0,0,0,0,0,8,8,17,0.0,0.0,0.0,0.0,0.0,180.0,182.0,467.0,0.0,23,3
2026-01-02 00:00:00,7,10,2,0.97,1.0,0,0,0,0,0,7,7,14,0.0,0.0,0.0,0.0,0.0,173.0,175.0,453.0,0.0,0,4
