timestamp,vehicle_type,planned_output,actual_output,priority,shift_factor,hour_factor,production_execution_error
2026-01-01 08:00:00,C车型,10,11,3,1.02,1.0,0.3974
2026-01-01 09:00:00,C车型,10,11,1,1.02,1.015,0.1874
2026-01-01 10:00:00,C车型,10,11,1,1.02,1.015,0.6587
2026-01-01 11:00:00,C车型,10,12,3,1.02,1.015,1.7125
2026-01-01 12:00:00,C车型,10,11,2,1.02,1.0,1.097
2026-01-01 13:00:00,C车型,10,11,1,1.02,1.0,0.6355
2026-01-01 14:00:00,C车型,10,12,3,1.02,1.02,1.74
2026-01-01 15:00:00,C车型,10,12,3,1.02,1.02,1.9189
2026-01-01 16:00:00,C车型,10,11,3,1.0,1.02,1.0636
2026-01-01 17:00:00,B车型,15,16,1,1.0,1.0,1.2318
2026-01-01 18:00:00,B车型,15,16,2,1.0,1.0,0.5531
2026-01-01 19:00:00,A车型,20,20,1,1.0,1.0,0.0422
2026-01-01 20:00:00,A车型,20,20,2,1.0,1.0,0.2252
2026-01-01 21:00:00,A车型,20,19,1,1.0,1.0,-1.3617
2026-01-01 22:00:00,C车型,10,8,1,1.0,1.0,-2.4012
2026-01-01 23:00:00,C车型,10,8,1,1.0,1.0,-2.2507
2026-01-02 00:00:00,C车型,10,7,2,0.97,1.0,-2.4983
2026-01-02 01:00:00,C车型,10,8,1,0.97,0.98,-1.6223
2026-01-02 02:00:00,A车型,20,17,2,0.97,0.98,-1.9432
2026-01-02 03:00:00,A车型,20,16,2,0.97,0.98,-2.5872
2026-01-02 04:00:00,C车型,10,9,3,0.97,0.98,-0.7679
2026-01-02 05:00:00,C车型,10,9,1,0.97,0.98,-0.7565
2026-01-02 06:00:00,C车型,10,9,1,0.97,1.0,-0.5134
2026-01-02 07:00:00,A车型,20,18,1,0.97,1.0,-1.5248
2026-01-02 08:00:00,C车型,10,9,2,1.02,1.0,-1.5791
2026-01-02 09:00:00,C车型,10,9,2,1.02,1.015,-1.0956
