task_id,timestamp,material,start,destination,quantity,priority
1,2026-01-01 08:00:00,M008,智能仓库,工位1,22,2
2,2026-01-01 09:00:00,M008,智能仓库,工位5,22,2
3,2026-01-01 10:00:00,M008,智能仓库,工位2,22,3
4,2026-01-01 11:00:00,M008,智能仓库,工位4,24,3
5,2026-01-01 12:00:00,M008,智能仓库,工位4,22,3
6,2026-01-01 13:00:00,M008,智能仓库,工位2,22,1
7,2026-01-01 14:00:00,M008,智能仓库,工位1,24,3
8,2026-01-01 15:00:00,M008,智能仓库,工位4,24,1
9,2026-01-01 16:00:00,M008,智能仓库,工位3,22,1
10,2026-01-01 17:00:00,M004,智能仓库,工位1,32,1
11,2026-01-01 18:00:00,M004,智能仓库,工位1,32,2
12,2026-01-01 19:00:00,M003,智能仓库,工位3,41,3
13,2026-01-01 20:00:00,M003,智能仓库,工位4,40,3
14,2026-01-01 21:00:00,M003,智能仓库,工位4,38,2
15,2026-01-02 02:00:00,M003,智能仓库,工位1,34,3
16,2026-01-02 03:00:00,M003,智能仓库,工位2,32,2
17,2026-01-02 07:00:00,M003,智能仓库,工位3,36,1
18,2026-01-02 12:00:00,M003,智能仓库,工位3,38,2
19,2026-01-02 13:00:00,M003,智能仓库,工位1,38,2
20,2026-01-02 14:00:00,M004,智能仓库,工位4,28,2
21,2026-01-02 15:00:00,M004,智能仓库,工位4,32,2
22,2026-01-02 16:00:00,M004,智能仓库,工位3,32,1
23,2026-01-02 17:00:00,M004,智能仓库,工位4,28,3
24,2026-01-02 18:00:00,M004,智能仓库,工位4,30,2
25,2026-01-02 21:00:00,M004,智能仓库,工位5,26,2
26,2026-01-02 22:00:00,M004,智能仓库,工位1,26,3
27,2026-01-03 01:00:00,M004,智能仓库,工位4,28,1
28,2026-01-03 02:00:00,M004,智能仓库,工位4,28,3
29,2026-01-03 03:00:00,M004,智能仓库,工位2,28,3
30,2026-01-03 04:00:00,M003,智能仓库,工位3,34,2
31,2026-01-03 05:00:00,M003,智能仓库,工位1,34,1
32,2026-01-03 06:00:00,M004,智能仓库,工位3,26,3
33,2026-01-03 07:00:00,M004,智能仓库,工位3,28,2
34,2026-01-03 08:00:00,M004,智能仓库,工位4,30,3
35,2026-01-03 09:00:00,M004,智能仓库,工位4,29,1
36,2026-01-03 11:00:00,M003,智能仓库,工位4,41,2
37,2026-01-03 14:00:00,M008,智能仓库,工位4,22,1
38,2026-01-03 15:00:00,M008,智能仓库,工位3,24,3
39,2026-01-03 16:00:00,M004,智能仓库,工位4,31,2
40,2026-01-03 17:00:00,M003,智能仓库,工位1,41,1
41,2026-01-03 18:00:00,M003,智能仓库,工位4,40,2
42,2026-01-03 19:00:00,M001,智能仓库,工位5,21,3
43,2026-01-03 19:00:00,M002,智能仓库,工位2,22,1
44,2026-01-03 19:00:00,M003,智能仓库,工位2,42,3
45,2026-01-03 20:00:00,M003,智能仓库,工位4,40,1
46,2026-01-03 21:00:00,M001,智能仓库,工位2,21,1
47,2026-01-03 21:00:00,M003,智能仓库,工位2,40,3
48,2026-01-04 00:00:00,M004,智能仓库,工位3,29,2
49,2026-01-04 01:00:00,M004,智能仓库,工位4,30,3
50,2026-01-04 02:00:00,M003,智能仓库,工位1,38,3
51,2026-01-04 03:00:00,M003,智能仓库,工位2,40,3
52,2026-01-04 04:00:00,M004,智能仓库,工位4,30,2
53,2026-01-04 05:00:00,M004,智能仓库,工位3,30,2
54,2026-01-04 06:00:00,M004,智能仓库,工位1,31,3
55,2026-01-04 07:00:00,M008,智能仓库,工位2,22,3
56,2026-01-04 08:00:00,M001,智能仓库,工位3,22,2
57,2026-01-04 08:00:00,M002,智能仓库,工位3,22,3
58,2026-01-04 08:00:00,M003,智能仓库,工位3,44,1
59,2026-01-04 09:00:00,M001,智能仓库,工位1,23,1
60,2026-01-04 09:00:00,M002,智能仓库,工位2,23,2
61,2026-01-04 09:00:00,M003,智能仓库,工位5,47,2
62,2026-01-04 10:00:00,M003,智能仓库,工位5,41,1
