model,scope,material,MAE,RMSE,R2,WMAPE
Baseline SH,overall,ALL,0.35293014808394596,0.7749887547589103,0.9935034732680197,5.45065865766712
Baseline SH,t+1,ALL,0.30267429512031874,0.6674676957852022,0.9951943945711517,4.665927838155033
Baseline SH,t+2,ALL,0.4031860010475732,0.8693112302787338,0.9918031213484061,6.2382803624969885
Baseline SH,peak,ALL,0.46794320195104083,0.9209286785164461,0.9920885291439957,5.569173840165405
Baseline SH,t+1,M001,0.4414781890595622,0.6738285772796069,0.9904123513429361,4.153692639001258
Baseline SH,t+2,M001,0.5862535892915404,0.8733578919799968,0.9842103192113418,5.585900805409414
Baseline SH,peak,M001,0.622391962406421,0.885209324145428,0.9799814139722703,4.996265753262555
Baseline SH,t+1,M002,0.22113187675002044,0.5662443277634361,0.9944284075346512,5.229470058277511
Baseline SH,t+2,M002,0.27081778463122086,0.6845165395997287,0.9918578423753498,6.404474636549142
Baseline SH,peak,M002,0.325461990992315,0.6959282698194711,0.993249200172966,5.45032042331628
Baseline SH,t+1,M003,0.37061280810305086,0.9570237160613522,0.9960221549926963,4.377316631138396
Baseline SH,t+2,M003,0.4729493557133988,1.181895343307426,0.9939331885192902,5.586016012362978
Baseline SH,peak,M003,0.6012853874832063,1.292334368214843,0.9941432732000914,5.046759846981347
Baseline SH,t+1,M004,0.5094119204307743,0.8955034949599403,0.9953590754269801,4.006610610129686
Baseline SH,t+2,M004,0.7029778623903626,1.2898893449525828,0.9903287813739644,5.647488565492584
Baseline SH,peak,M004,0.8124371756186967,1.3629388213170375,0.9889804443358424,5.138909845780913
Baseline SH,t+1,M005,0.2536731146452441,0.4979877261788117,0.9942749079204596,3.987376802058478
Baseline SH,t+2,M005,0.3659968332924635,0.694802718718876,0.9888067404262114,5.876095947356066
Baseline SH,peak,M005,0.3962425547697863,0.7000372581777531,0.9884301867863055,5.000657241686005
Baseline SH,t+1,M006,0.17736361231987255,0.3979349384749742,0.9897841166264972,7.331960351805755
Baseline SH,t+2,M006,0.2166856402675302,0.4414203803702913,0.9877064838504233,8.6509476152436
Baseline SH,peak,M006,0.2629135707874732,0.48416423606291836,0.987244585973855,7.864935878257745
Baseline SH,t+1,M007,0.1491328385911406,0.3948137513938804,0.989942684586226,6.189307530462357
Baseline SH,t+2,M007,0.1983596737819749,0.47366001355489884,0.9858451653367738,7.949528911109681
Baseline SH,peak,M007,0.23505662845151198,0.5169036234462235,0.9855955744183562,7.0316085434212985
Baseline SH,t+1,M008,0.2985900010628848,0.7137118588678845,0.9912078819447164,6.3983571656332465
Baseline SH,t+2,M008,0.4114472690120943,0.922849671886095,0.9856607025992041,8.504323473675177
Baseline SH,peak,M008,0.4877563450989164,0.998788499558776,0.9855284730485018,7.553748707284104
